depth,d18O,d17O,dD,dxs,CH4,CO,concentration,total_counts,small,medium,large,XL,small_percentage,medium_percentage,large_percentage,XL_percentage,age
59.45,-36.16680405549168,-19.259123637224445,-287.8946910251347,1.4397414187987854,628.8005447285834,0.07601754226670454,1681.679102973996,820.0454545918182,629.9545454997501,153.00000001738636,34.772727258818186,2.3181818158636367,77.85390984897266,17.686493098804593,4.062648111146131,0.3969489410766188,
59.5,-36.440677645714615,-19.38487286030758,-290.25383025388743,1.271590911829527,632.3764354442854,0.09515192150151819,2918.7115127618067,968.666666746,719.333333407,204.00000001699996,45.333333322,0.0,74.26015141239715,21.059876118405967,4.679972469196891,0.0,
59.55,-36.32707926109434,-19.338980843538607,-290.39113276511654,0.22550132363813755,646.8911197052456,0.10390360271683044,3011.400955007887,1484.1705426826513,1196.2015504307674,246.97674420272094,39.25581394237209,1.7364341067906977,77.94566309802299,18.489823866343546,3.4964709468088513,0.06804208882462014,
59.6,-35.852850276910054,-19.07887743457471,-286.5055017643659,0.31730045091457687,648.3587151729776,0.08823724545069557,2774.527187566128,2551.99999998,2183.99999998,336.000000016,26.666666656,5.333333328,85.57993730396223,13.166144201357099,1.0449320790050542,0.20898641567561901,
59.65,-35.75959316985003,-19.056200803683964,-285.86912092111436,0.20762443768586764,640.4447788513974,0.0841079956497695,2503.443378509031,2425.142857118857,2059.4285714045714,332.1904762057143,28.952380941714285,4.5714285668571435,84.61796823847386,13.940944114151922,1.2619564339379754,0.17913121343624483,
59.7,-35.65762068099363,-18.97919815921117,-284.6112927569153,0.6496726910337766,636.2974557500934,0.07637748668302483,1947.7635419455344,1663.999999952,1311.999999952,309.333333344,42.666666656,0.0,78.84615384554364,18.589743590920857,2.564102563535503,0.0,
59.75,-35.90803574304835,-19.142595268781786,-286.9677393101077,0.2965466342791826,636.1231010630643,0.07029524320849098,2070.7054250783103,1425.8461538424615,1147.6923076886153,230.56410256492308,47.58974358892307,0.0,80.51524741803449,16.13618445611307,3.3485681258524416,0.0,
59.8,-35.52433778508942,-18.934211299800978,-283.89797729571427,0.2967249850010879,627.9666883365952,0.07029913689514872,2872.258072993948,1770.5277777276667,1425.1944443943332,287.55555556533335,52.888888883999996,4.888888884,80.49837716155116,16.23554708695296,2.9950229580668486,0.2710527934290247,
59.85,-35.47814895321252,-18.899110653999116,-283.94977405273266,-0.12458242703252896,616.4356719441006,0.07107971627836282,2299.541994924313,1803.666666612,1451.666666612,293.333333344,53.333333327999995,5.333333328,80.48419885359442,16.263167622596036,2.956939567341515,0.29569395646802693,
59.9,-35.654319192448064,-18.96019895236312,-285.8905327232868,-0.6559791837023524,602.0106070191715,0.0708107085504623,2213.7427006413395,1803.666666612,1451.666666612,293.333333344,53.333333327999995,5.333333328,80.48419885359442,16.263167622596036,2.956939567341515,0.295693956468027,
59.95,-35.84951267003986,-19.097570277749227,-287.13507231292783,-0.33897095260898535,594.890843718079,0.06192512083135211,2350.9571804793113,1803.666666612,1451.666666612,293.333333344,53.333333327999995,5.333333328,80.4841988535944,16.263167622596036,2.956939567341515,0.29569395646802693,-686.31
60.0,-35.940697372492785,-19.12572108485021,-287.4876702708889,0.03790870905340093,594.0291811554137,0.06586935917443018,3187.2204438998933,1803.666666612,1451.666666612,293.333333344,53.333333327999995,5.333333328,80.48419885359442,16.263167622596036,2.9569395673415153,0.29569395646802693,-686.31
60.05,-35.978852331308275,-19.161520242353927,-288.0287557728547,-0.19793712238847896,606.6192161789381,0.068264533488,2576.897801211404,1261.9097221971667,1020.4097221971666,205.94444444933333,33.11111110866666,2.444444442,81.07807465087608,16.35252058869089,2.433878363718522,0.13552639671451236,-686.31
60.1,-35.886324478086294,-19.100065519111602,-287.1761158953976,-0.08552007070728168,606.1565979744104,0.06904552262780254,1802.2754654126281,730.0,598.0,117.33333333333333,14.666666666666666,0.0,82.00283707322488,15.983531170625369,2.0136317561497497,0.0,
60.15,-37.005952564066845,-19.72469252542414,-293.5930826412908,2.4545378712440544,601.8953632153849,0.07031030062675565,2521.6658783502335,1013.6249999725,864.0649999875001,124.23999999400002,25.319999991,0.0,85.36466838418235,12.018989306968122,2.6163423088495272,0.0,
60.2,-37.5854431774021,-20.036903528613387,-297.6457885950025,3.0377568242141906,594.0698375067027,0.07071607411181241,11509.74624864541,819.25,703.25,92.0,24.0,0.0,85.84070796460178,11.229783338419287,2.929508696978944,0.0,
60.25,-37.25560375323451,-19.85657038552783,-295.14568347229607,2.89914655357998,548.173924882799,0.07196465311972458,7067.2531204886745,878.954081632653,751.8520408163265,101.79591836734694,24.653061224489797,0.6530612244897959,85.72465338349282,11.365246938586113,2.8814817452089976,0.028617932712085712,
60.3,-37.219354783538314,-19.858057698912777,-294.69857694624,3.0562613220665207,510.6880409112027,0.05282960600591989,5583.622584864006,2424.1979166666665,2008.9270833333333,356.5260416666667,47.083333333333336,11.661458333333334,82.88209408389993,14.691670291898083,1.9239241921653523,0.5023114320366272,
60.35,-38.239031803272304,-20.386380189362512,-304.01861813136674,1.8936362948116878,504.1131892841732,0.04456487686749203,5081.585147047159,2848.1632653061224,2373.3979591836733,425.66326530612247,47.87755102040816,1.2244897959183674,83.31285832195225,14.94538398293276,1.6961273692003902,0.04563032591460284,
60.4,-38.501960978983995,-20.540282502002565,-307.90184592715275,0.11384190471916025,504.25222791716493,0.04020069957566701,17043.288108077668,3842.3333333333335,3267.09375,533.6458333333334,41.59375,0.0,84.79336938438567,14.065135217095524,1.1414953985188132,0.0,
60.45,-37.39665863356867,-19.955494329566108,-296.1578056835001,3.0154633850492427,473.8985587675646,0.06775168584725848,19130.96031898545,27825.68,23197.735,4333.21,279.685,15.05,83.65680529711594,15.303771740277266,0.9918024082465923,0.047620554360207575,
60.5,-37.59720912882528,-19.999399895670955,-299.38020718824316,1.3974658423590527,452.83820519768113,0.07575601540806065,5649.670402779803,31604.0,26329.5,4938.5,318.5,17.5,83.31065687887609,15.626186558663461,1.0077838248322997,0.05537273762814834,
60.55,-37.85973275140205,-20.163706423890492,-302.4620279095036,0.4158341017127892,460.005844483516,0.06319609807386299,15380.927337766154,31604.0,26329.5,4938.5,318.5,17.5,83.31065687887609,15.626186558663461,1.0077838248322997,0.05537273762814834,
60.6,-37.80922502504021,-20.125193456691086,-301.93736939500616,0.5364308053155514,467.7298917262323,0.061041785529646835,12916.016562932546,22585.26530612245,18661.02244897959,3606.7571428571428,301.27142857142854,16.214285714285715,81.11428036692479,16.72559746683523,2.052173134641818,0.1079490315981656,
60.65,-37.70389298662735,-20.088805149072183,-301.8530512719499,-0.22190737893110327,467.8380806246588,0.051848050408249996,10630.537862160976,6046.9800000000005,5022.74,876.61,137.41,10.22,83.56094346634737,14.137690203377625,2.134924023101786,0.16644230717321978,
