depth,d18O,dD,dxs,CH4,CO,CO2,concentration,XL,large,medium,small,total_counts,small_percentage,large_percentage,XL_percentage,flow_rate
38.94,-39.6200861,-314.3308684,2.629820425,,,,25626.77201,0.010007364,3.87548466,76.33022459,1185.203222,1265.418939,93.66052327,0.30692378,0.000720357,0.051849233
38.96,-39.65315392,-315.0359212,2.189310235,,,,29616.02248,0.148844959,4.993703474,90.23996336,1349.96422,1445.346732,93.39470159,0.344441323,0.010754755,0.050112175
38.98,-39.80376306,-315.4976526,2.93245189,,,,29954.70177,0.150082014,4.269851768,91.60558987,1306.627339,1402.652863,93.14990775,0.302402028,0.01063851,0.051065344
39,-39.88752253,-315.9669041,3.133276134,,,,33060.96889,0.218185925,4.439859598,108.1458816,1340.236119,1453.040046,92.25994696,0.301848118,0.014423174,0.049840563
39.18,-39.8826755,-316.1589227,2.902481292,,,,32207.91873,0.101262185,6.554705469,141.0856917,1522.234004,1669.975663,91.1742792,0.391514218,0.005813953,0.050197333
39.2,-39.83587445,-316.492685,2.194310638,,,,32470.45253,0.081149273,6.541998742,140.8551698,1454.585568,1602.063886,90.80051958,0.412849917,0.005059039,0.049585947
39.22,-39.96324334,-316.3945953,3.311351408,,,,36303.48433,0.135036629,7.932525743,143.6200635,1497.65253,1649.340156,90.23693014,0.506948262,0.009163504,0.04988475
39.24,-39.6249435,-313.1512361,3.848311917,,,,28969.25184,0.330519417,6.244033396,101.8312837,1283.244405,1391.650242,92.32042209,0.438598513,0.026618529,0.049898244
39.26,-39.84139092,-313.680977,5.050150332,,,,26964.95807,0.060936295,7.214197345,101.9043497,1318.100137,1427.27962,92.35394102,0.493994121,0.004160599,0.054293879
39.28,-37.59505932,-298.1128648,2.647609766,,,,22870.92286,1.000717916,2.001435832,44.03158831,815.5851016,862.6188436,94.54756381,0.232018561,0.116009281,0.037689778
39.3,-37.66813776,-297.6900738,3.655028277,,,,9524.305659,1.984704123,1.984704123,42.67113865,658.921769,705.5623159,93.38959212,0.281293952,0.281293952,0.074651111
39.32,-37.77514548,-297.9859226,4.215241225,,,,19206.95561,2.024881938,5.062204844,45.5598436,767.4302543,820.0771847,93.58024691,0.617283951,0.24691358,0.042172222
39.34,-37.73860626,-298.6961695,3.212680566,,,,11050.90567,0,1.974072991,51.32589777,773.8366126,827.1365833,93.55608592,0.238663484,0,0.075830889
39.36,-37.92195484,-298.0614585,5.314180298,,,,18909.1245,1.540966003,3.949311943,53.1040473,835.9089141,894.5032394,93.52412635,0.451125482,0.160427807,0.054923444
39.38,-37.72425156,-298.5272629,3.266749591,,,,26297.76611,0,2.071187081,78.70510908,864.7206063,945.4969025,91.45673604,0.21905805,0,0.034717778
39.4,-37.70467698,-298.9657905,2.671625306,,,,11882.51892,0,1.950642191,40.963486,767.577702,810.4918302,94.70517449,0.240673887,0,0.069934667
39.42,-37.7412162,-298.8031786,3.126550986,,,,30795.66482,0,2.988038738,57.76874893,867.5272468,928.2840345,93.45493562,0.321888412,0,0.030264
39.44,-37.7412162,-298.8031786,3.126550986,,,,12371.29859,0.199444297,3.390553055,48.46496425,880.3471284,932.40209,94.4171123,0.363636364,0.021390374,0.075174
39.46,-38.36238294,-299.5721756,7.326887913,,,,43951.54445,0,2.039488522,50.98721304,944.2831855,997.3098871,94.68302658,0.204498978,0,0.022251778
39.48,-38.46808569,-299.5490952,8.195590266,,,,11684.82354,1.014254638,4.057018552,62.88378755,876.3160072,944.2710679,92.80343716,0.429645542,0.107411386,0.079676
39.52,-38.36212195,-303.0208597,3.876115889,,,,25229.61744,0.145912589,3.804845863,68.38453478,981.2426708,1053.577964,93.12400086,0.362748779,0.013093988,0.052099159
39.54,-39.04047133,-307.0830978,5.240672846,,,,27358.66717,0.161036325,4.655977694,66.62700758,1041.052421,1112.496442,93.57732072,0.41363028,0.015002863,0.052670747
39.56,-39.2310594,-308.4210117,5.427463529,,,,23301.85219,0.246541267,3.013736892,53.41873583,928.0569773,984.7359913,94.25720425,0.305263726,0.025038816,0.052605815
39.58,-39.26877931,-309.0475796,5.102654849,,,,21536.73393,0.646849031,4.274287433,58.73089833,912.4744433,976.1264781,93.51517015,0.43281011,0.063582477,0.053944324
39.6,-39.33216367,-309.6589105,4.998398849,,,,18067.11396,0.093043659,2.724940365,45.52009418,739.0494655,787.3875437,93.85196148,0.345771072,0.01222206,0.055119639
39.62,-39.32402313,-310.1586362,4.433548864,,,,17180.79471,0.099305917,1.784206228,42.73322675,684.1680888,728.7848277,93.87373904,0.245188143,0.013067363,0.050521547
39.64,-39.2739992,-310.5105873,3.681406262,,,,14916.69723,0.021018404,1.687747433,38.76831873,655.7964787,696.2735633,94.2036087,0.244855366,0.003004086,0.055948167
39.66,-39.46371729,-310.7845047,4.925233607,,,,16037.84584,0.055923908,1.252834134,37.69539738,643.3724429,682.3765983,94.29521987,0.182365894,0.007712446,0.051241074
39.68,-39.46334445,-310.8314649,4.875290689,,,,15764.47322,0.054902657,1.535959853,37.93799464,657.161677,696.6905341,94.32998557,0.223973456,0.008308065,0.052019972
39.7,-39.52231676,-311.0493299,5.12920419,,,,16943.92467,0.041408068,2.115415031,41.59432036,696.4628072,740.2139507,94.05966048,0.289353564,0.006109482,0.052569287
39.72,-39.45346394,-310.8827213,4.744990186,,,,19957.72337,0.092679737,2.398554281,52.14205825,840.4814939,895.1147862,93.88643497,0.268290758,0.011492781,0.051853929
39.74,-39.39138455,-310.8849694,4.246106981,,,,24677.61549,0.153500516,2.452406941,60.7948419,965.4531069,1028.853856,93.83378539,0.239351706,0.01476362,0.050138028
39.76,-39.46384158,-310.3936866,5.31704601,,,,21550.66959,0.027804349,2.36589113,52.90753854,899.1586168,954.4598508,94.19445312,0.248744334,0.002720644,0.052015491
39.78,-39.3341522,-309.905701,4.767516641,527.4260977,0.091514286,66.68945714,17793.21959,0.084874239,1.961515471,46.14485509,776.3348014,824.5260462,94.12875309,0.235677926,0.010445383,0.053478028
39.8,-39.19942936,-308.9757406,4.61969426,529.9544774,0.096114286,66.89085714,15633.36554,0.027572729,2.092103003,39.02069614,666.4932943,707.6336662,94.15716106,0.302939167,0.004084074,0.05236687
39.82,-39.16320085,-307.9141921,5.391414752,532.2086955,0.079457143,67.34065714,14271.60796,0.133276317,2.065869955,35.49794182,557.4186184,595.1157065,93.65857844,0.346538463,0.024570947,0.0515472
39.84,-39.10752204,-306.9451649,5.915011415,531.721297,0.079057143,68.03808571,11797.82843,0.824634304,1.792290003,34.56829311,486.5934855,523.7787029,92.87015735,0.342396807,0.162152092,0.053513574
39.86,-39.09670941,-306.3163489,6.457326449,528.7385197,0.070861111,68.93730556,13700.6968,1.012425288,2.551031806,42.89391919,515.7590273,562.2164036,91.73314828,0.45154625,0.183366095,0.052246759
39.88,-38.8843718,-305.9506094,5.124364996,526.4208383,0.061828571,67.5592,14137.94677,0.960885047,3.761196776,45.18230365,530.4652416,580.3696271,91.4315404,0.645302212,0.167222627,0.052287759
39.9,-39.01636041,-306.0057126,6.125170679,523.2527481,0.069685714,66.856,13532.51014,1.063451718,3.009126339,46.67521793,542.5928998,593.3406958,91.44236753,0.498117932,0.180981152,0.05447538
39.92,-38.9548403,-306.00886,5.629862427,519.6277218,0.066857143,65.0614,14718.82393,1.717487456,2.968245191,45.41917852,566.7018783,616.8067894,91.86762648,0.483443092,0.28269118,0.053135938
39.94,-38.96354011,-306.0780012,5.630319653,518.1951425,0.070611111,63.60486111,13728.43605,2.159143291,2.216054619,38.66806712,542.4014681,585.4447332,92.64553751,0.387639991,0.361143813,0.052529083
39.96,-39.06017019,-306.3246418,6.15671973,518.5006128,0.059057143,63.48354286,13646.52075,1.221991449,1.943549197,33.05014368,548.9741248,585.1898091,93.82044073,0.328081358,0.208581989,0.051919611
